;data_inversa;;;;;;;;;;;;;;;;;mortos
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;1
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;1
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;1
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;4
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;1
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;4
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;1
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;1
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;3
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;2
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;1
;2018-01-01;;;;;;;;;;;;;;;;;1
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;1
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;1
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;1
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;1
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;1
;2018-01-01;;;;;;;;;;;;;;;;;2
;2018-01-01;;;;;;;;;;;;;;;;;0
;2018-01-01;;;;;;;;;;;;;;;;;0
